item,ingredient,amount,unit,amount_mg,component_id,match_score,match_method
DE1042,BIOTINA,80.0,mg,80.0,COMP_641FDABDC956,100.0,manual_alias
DE1045,CIANOCOBALAMINA,250.0,mcg,0.25,COMP_06B36D3A8FF3,100.0,manual_alias
DE1054,VITAMINA A 2,500.0,ui,,COMP_90C4121BAE0C,100.0,exact_translated
DE1054,ACETATO DE VITAMINA E,15.0,ui,,COMP_D4790F9775EF,100.0,exact_translated
DE1054,TIAMINA,0.75,mg,0.75,COMP_4F4F134A6B55,100.0,manual_alias
DE1054,VITAMINA B12,3.0,mcg,0.003,COMP_06B36D3A8FF3,100.0,exact_translated
DE1054,RIBOFLAVINA,0.85,mg,0.85,COMP_586F3B3DE0F3,100.0,manual_alias
DE1054,NIACINA,10.0,mg,10.0,COMP_7A51909809FD,92.3076923076923,fuzzy_translated
DE1054,VITAMINA B6,1.0,mg,1.0,COMP_FB0BFF3E6E21,100.0,exact_translated
DE1054,ACIDO FOLICO,100.0,mcg,0.1,COMP_A9136ADF22F7,100.0,manual_alias
DE1054,BIOTINA,50.0,mcg,0.05,COMP_641FDABDC956,100.0,manual_alias
DE1054,ACIDO PANTOTENICO,5.0,mg,5.0,COMP_CCEF1C481D8D,100.0,manual_alias
DE1054,CALCIO,64.0,mg,64.0,COMP_275450118D60,100.0,exact_translated
DE1054,SELENIO,2.0,mcg,0.002,COMP_781B4EA1D853,100.0,exact_translated
DE1054,HIERRO,2.5,mg,2.5,COMP_B6A8F8958154,100.0,exact_translated
DE1054,YODO,22.5,mcg,0.0225,COMP_22DA46FADFFD,100.0,exact_translated
DE1054,MAGNESIO,32.0,mg,32.0,COMP_83336712C554,100.0,exact_translated
DE1054,ZINC,1.5,mg,1.5,COMP_723DBC80CC4E,100.0,exact_es
DE1054,COBRE,0.025,mg,0.025,COMP_E388F25D01B8,100.0,exact_es
DE1054,VITAMINA C,60.0,mg,60.0,COMP_1BCB25859985,100.0,exact_translated
DE1054,MANGANESO,0.25,mg,0.25,COMP_5FCBE278ABF3,100.0,exact_translated
DE1054,CROMO,5.0,mcg,0.005,COMP_252C51860327,100.0,manual_alias
DE1054,POTASIO (CITRATO DE POTASIO-FOSFATO MONOPOTASICO),5.0,mg,5.0,COMP_BB2F708BF799,90.0,pre_paren_translated
DE1054,COLINA,0.5,mg,0.5,COMP_A204C673A9A2,100.0,exact_translated
DE1054,VITAMINA D,100.0,ui,,COMP_8C56C31FBB78,100.0,exact_translated
DE1055,CLORHIDRATO DE L-ARGININA,604.765,mg,604.765,COMP_984D98F1A15A,88.88888888888889,fuzzy_translated
DE1078,ACIDO FOLICO,800.0,mcg,0.8,COMP_A9136ADF22F7,100.0,manual_alias
DE1092,VITAMINA A 25,0.0,ui,,COMP_90C4121BAE0C,100.0,exact_translated
DE1092,ACIDO FOLICO,25.0,mcg,0.025,COMP_A9136ADF22F7,100.0,manual_alias
DE1092,VITAMINA B12,25.0,mcg,0.025,COMP_06B36D3A8FF3,100.0,exact_translated
DE1092,BIOTINA,30.0,mcg,0.03,COMP_641FDABDC956,100.0,manual_alias
DE1092,ACIDO PANTOTENICO,10.0,mg,10.0,COMP_CCEF1C481D8D,100.0,manual_alias
DE1092,CALCIO,220.0,mg,220.0,COMP_275450118D60,100.0,exact_translated
DE1092,FOSFATO MONO POTASICO-PIROFOSFATO FERRICO-FOSFATO TRI CALCICO,110.0,mg,110.0,,0.0,
DE1092,IODO,150.0,mcg,0.15,COMP_22DA46FADFFD,100.0,exact_translated
DE1092,MAGNESIO,50.0,mg,50.0,COMP_83336712C554,100.0,exact_translated
DE1092,ZINC,11.0,mg,11.0,COMP_723DBC80CC4E,100.0,exact_es
DE1092,SELENIO,55.0,mcg,0.055,COMP_781B4EA1D853,100.0,exact_translated
DE1092,VITAMINA C,90.0,mg,90.0,COMP_1BCB25859985,100.0,exact_translated
DE1092,COBRE,0.9,mg,0.9,COMP_E388F25D01B8,100.0,exact_es
DE1092,MANGANESO,2.3,mg,2.3,COMP_5FCBE278ABF3,100.0,exact_translated
DE1092,CROMO,45.0,mcg,0.045,COMP_252C51860327,100.0,manual_alias
DE1092,MOLIBDENO,45.0,mcg,0.045,COMP_526CEFBDED30,100.0,manual_alias
DE1092,CLORURO,72.0,mg,72.0,,0.0,
DE1092,POTASIO (CITRATO DE POTASIO-FOSFATO MONOPOTASICO),80.0,mg,80.0,COMP_BB2F708BF799,90.0,pre_paren_translated
DE1092,BORO,5.0,mcg,0.005,COMP_34BE8499B1C4,100.0,exact_es
DE1092,NIQUEL,5.0,mcg,0.005,COMP_45E78E1964AA,100.0,exact_es
DE1092,PULPA DE CARICA PAPAYA (PAPAYA),2.0,mg,2.0,,0.0,
DE1092,VANADIO,10.0,mcg,0.01,COMP_281DA0167031,100.0,exact_es
DE1092,VITAMINA D3,500.0,ui,,COMP_94DFE28A9A5C,100.0,exact_translated
DE1092,LICOPENO,300.0,mcg,0.3,COMP_55B6D6822852,100.0,manual_alias
DE1092,LUTEINA,250.0,mcg,0.25,COMP_C873A4B5C00A,100.0,manual_alias
DE1092,ACETATO DE VITAMINA E,50.0,ui,,COMP_D4790F9775EF,100.0,exact_translated
DE1092,VITAMINA K,30.0,mcg,0.03,COMP_64DE5343502D,100.0,exact_translated
DE1092,MONONITRATO DE TIAMINA,1.5,mg,1.5,COMP_4F4F134A6B55,100.0,manual_alias
DE1092,RIBOFLAVINA,1.7,mg,1.7,COMP_586F3B3DE0F3,100.0,manual_alias
DE1092,NIACINA,20.0,mg,20.0,COMP_7A51909809FD,92.3076923076923,fuzzy_translated
DE1092,VITAMINA B6,500.0,mcg,0.5,COMP_FB0BFF3E6E21,100.0,exact_translated
DE1095,ASCORBATO DE CALCIO,30.7,mg,30.7,COMP_275450118D60,100.0,exact_translated
DE1095,MOLIBDENO,55.0,mcg,0.055,COMP_526CEFBDED30,100.0,manual_alias
DE1095,SULFATO DE GLUCOSAMINA,375.0,mg,375.0,COMP_98DD87A1B642,100.0,exact_es
DE1095,METILSULFONIL METANO,375.0,mg,375.0,COMP_0322C810E9FC,100.0,exact_es
DE1095,CONDROITINA SULFATO DE SODIO,200.0,mg,200.0,COMP_6205613132FA,100.0,exact_es
DE1095,ACIDO HIALURONICO,20.0,mg,20.0,COMP_16CC88FFE446,100.0,manual_alias
DE1095,MAGNESIO,50.0,mg,50.0,COMP_83336712C554,100.0,exact_translated
DE1095,ZINC,3.75,mg,3.75,COMP_723DBC80CC4E,100.0,exact_es
