item,Distribuidor,Producto,Fabricante,composicion_por,Forma Farmacéutica,Procedencia,Liberación,Composición,Vías de Administración,Presentación,codigo_atc,descripcion_clasificacion,grupo_atc_3,grupo_atc_4
DE3694,PHARMARIS PERU S.A.C.,MULTIVITAMINICO MINI SABOR FRAMBUESA .,C. HEDENKAMP GMBH & CO.KG,VIAL,TABLETA EFERVESCENTE,ALEMANIA,INMEDIATA,CARBONATO DE CALCIO 202.532000 mg COLECALCIFEROL 1.100000 mg CLORHIDRATO DE PIRIDOXINA 0.679000 mg ACIDO FOLICO 0.181000 mg D-BIOTINA 0.011000 mg ACIDO L-ASCORBICO 77.000000 mg GLUCONATO FERROSO 37.736000 mg DL-ALFA ACETATO DE TOCOFERILO 26.220000 mg CITRATO DE ZINC 15.748000 mg NICOTINAMIDA 11.055000 mg D-PANTOTENATO DE CALCIO 4.954000 mg ACETATO DE RETINOL 4.307000 mg CIANOCOBALAMINA 1.650000 mg 5-FOSFATO DE SODIO RIBOFLAVINA 1.400000 mg CLORHIDRATO DE TIAMINA 1.177000 mg,ORAL,"- Tubo de polipropileno color blanco x 5, 10, 15 y 20 comprimidos efervescentes. - Caja dispensadora de cartón o cartulina x 10, 20, 30, 60, 90 y 120 sobres de aluminio/polietileno de baja densidad/papel color plateado (interior) x 01 tableta efervescente cada uno.",A11AA01,Multivitamínicos con hierro,A11,A11A
DE3695,FARMAKONSUMA S.A.,TERACEZINC .,LABORATORIOS FARMA S.A.,CAPSULA,CAPSULA,VENEZUELA,INMEDIATA,ACIDO ASCORBICO 500.000000 mg SULFATO DE ZINC HEPTAHIDRATO 7.500000 mg,ORAL,"Caja de cartón conteniendo blíster de PVC-PVDC incoloro / Aluminio conteniendo 2,4,5, 8,10,12, 20, 24,30, 48, 50 y 60 cápsulas",A11AB,Otras combinaciones de multivitaminas,A11,A11A
DE3696,MEGA LIFESCIENCES PTY PERU S.A.C.,PRODEFENZ .,MEGA LIFESCIENCES (AUSTRALIA) PTY.LTD.,CAPSULA,CAPSULA,AUSTRALIA,INMEDIATA,"MEZCLA DE BIFIDOBACTERIUM LACTIS, BIFIDOBACTERIUM LONGUM Y LACTOBACILLUS CASEI 4.000000 mg LACTOBACILLUS ACIDOPHILUS 5.000000 mg",ORAL,"Caja de cartón x 2, 4, 8,10,12, 16, 20,24, 28, 30, 32, 36, 40, 44, 48, 50, 52, 56, 60, 64, 70, 72, 80, 88, 90, 96, 100, 200 cápsulas en envase de blíster de PVC/PVDC-incoloro aluminio .",A07FA01,"Ácido láctico, organismo productores de",A07,A07F
DE3698,INRETAIL PHARMA S.A.,CAFFEINE 200 mg,VITAMINS FOR LIFE,VIAL,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,CAFEINA ANHIDRA 200.000000 mg,ORAL,"Frasco PET color blanco x 30, 50, 60, 90, 100 y 250 tabletas, caja de cartón x 30, 50, 60, 90, 100 y 250 tabletas en blíster de PVC incoloro y aluminio plateado Expediente N° 22018324 CAMBIO DE FORMA DE PRESENTACION a : Frasco de PEAD y/o PET color blanco, azul x 30, 50, 60, 90, 100 y 250 tabletas; caja de cartón x 30, 50, 60, 90, 100 y 250 tabletas en blíster de PVC incoloro/aluminio plateado.",N06BC01,Cafeína,N06,N06B
DE3703,THEFAR S.A.C.,MIFLORA TOTAL .,ELMED LIFE SCIENCES PRIVATE LIMITED,DOSIS 5.00 mL,SUSPENSION ORAL,INDIA,INMEDIATA,"POR DOSIS 5.00 mL - ESPORAS DE BACILLUS CLAUSI 2,000,000.000000 UFC",ORAL,"Caja de cartón x 2, 5, 10, 20 y 50 frascos de PEBD incoloro x 5 mL",A16AX,Productos varios para el tracto alimentario y el metabolismo,A16,A16A
DE3704,UFS PHARMACEUTICAL SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - UFS PHARMACEUTICAL S.R.L.,COLLAGEN PROTEIN .,THE HUT GROUP LTRD (OMEGA SOUTH),DOSIS,POLVO ORAL,REINO UNIDO,INMEDIATA,COLAGENO HIDROLIZADO BOVINO TIPO II 25.000000 g,ORAL,"Bolsa de polietileno de baja densidad/aluminio/politereftalato de etileno de color blanco o plateado x 1 kg con cierre hermético y cucharita dosificadora de polipropileno de color gris x 25 g. Bolsa de polietileno de baja densidad/aluminio de color blanco o plateado 1 kg con cierre hermético y cucharita dosificadora de polipropileno de color gris x 25 g. Bolsa de MOPE/PE de color crema, beige y anaranjado x 1 Kg con cierre hermético y cucharita dosificadora de polipropileno de color gris x 25 g.",V07,TODO EL RESTO DE LOS PRODUCTOS NO TERAPÉUTICOS,V07,V07
DE3705,INTI PERU S.A.C.,VIMIN - D3 4000 4000 UI,ASOJ SOFT CAPS PVT.LTD.,CAPSULA,CAPSULA BLANDA,INDIA,INMEDIATA,"COLECALCIFEROL 4,000.000000 UI",ORAL,Frasco de polietileno de alta densidad color blanco x 60 cápsulas blandas con y sin caja de cartón,A11CC05,Colecalciferol,A11,A11C
DE3706,UNIMED DEL PERU S.A.,VISOMEGA .,LABORATORIOS PROCAPS S.A.,CAPSULA,CAPSULA BLANDA GASTRORRESISTENTE,COLOMBIA,INMEDIATA,ACIDOS GRASOS OMEGA-3 239.000000 mg DL-ALFA ACETATO DE TOCOFERILO 150.000000 mg ASCORBATO DE SODIO 200.000000 mg GLUCONATO DE COBRE 7.142900 mg OXIDO DE ZINC 24.891200 mg LUTEINA 5.000000 mg ZEAXANTINA 1.000000 mg,ORAL,"Caja de cartón x 2, 4, 5, 6, 8, 10, 20, 30, 40, 50, 60, 80, 90, 100 y 120 cápsulas blandas gastrorresistentes en blíster Aluminio-POLI(CLORURO DE VINILO)/POLI(CLOROTRIFLUORETILENO) incoloro. Caja de cartón x 2, 4, 5, 6, 8, 10, 20, 30, 40, 50, 60, 80, 90, 100 y 120 cápsulas blandas gastrorresistentes en blíster Aluminio-POLI(CLORURO DE VINILO)/PELÍCULA TERMOELÁSTICA DE POLIURETANO/POLI(CLORURO DE VINILIDENO incoloro.",A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE3707,DIMPROKEL PERU S.A.C.,GOLI APPLE CIDER VINEGAR GUMMIES .,BETTER NUTRITIONALS LLC,GOMA,PASTILLA DE GOMA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,ACIDO FOLICO 120.000000 MCG CIANOCOBALAMINA 1.200000 MCG VINAGRE DE MALUS DOMESTICA 500.000000 mg,ORAL,frasco de PET rojo por 60 pastillas de goma,A11AB,Otras combinaciones de multivitaminas,A11,A11A
DE3708,DELTA IMPORT CORP S.A.C.,WP8 MYOBOLIC VANILLA MILKSHAKE .,QUIMIFARMA 2007 SL,DOSIS 30.00 g,POLVO PARA SOLUCION ORAL,ESPAÑA,INMEDIATA,POR DOSIS 30.00 g - CONCENTRADO DE PROTEINAS DE SUERO 11.190000 g AISLADO DE PROTEINA DE LECHE 7.500000 g PROTEINA HIDROLIZADA DE SUERO 6.000000 g AISLADO DE PROTEINA DE SUERO DE LECHE 4.500000 g,ORAL,"frasco de PET y/o PP color negro, blanco o anaranjado por 2,270 g (5 libras), 908 g (2 libras), 4540 g (10 libras), incluye cuchara dosificadora de PP color negro, azul, blanco, anaranjado o incoloro. Balde de PET y/o PP color negro, blanco o anaranjado por 4540 g (10 libras), incluye cuchara dosificadora de PP color negro, azul, blanco, anaranjado o incoloro. Sobre de PEBD/aluminio/PP por 30 g color anaranjado. Bolsa de PEBD/aluminio/PP por 4540 g (10 libras) color negro, blanco o anaranjado, incluye cuchara dosificadora de PP color negro, azul, blanco, anaranjado o incoloro.",A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE3709,PHARMAVIT S.A.C.,HIGANOVIT B .,MAX NUTRACEUTICALS,MILILITRO,JARABE,INDIA,INMEDIATA,METIONINA 115.000000 mg CLORHIDRATO DE TIAMINA 3.450000 mg CLORHIDRATO DE PIRIDOXINA 1.725000 mg NICOTINAMIDA 25.875000 mg DEXPANTENOL 5.175000 mg BIOTINA 0.120000 mg ACIDO FOLICO 0.550000 mg CIANOCOBALAMINA 0.006000 mg DL-ALFA ACETATO DE TOCOFERILO 7.500000 UI CITRATO COLINA 115.000000 mg FOSFATO SODICO DE RIBOFLAVINA 4.384000 mg,ORAL,"Caja de cartón conteniendo un frasco de PET ámbar DE 200 ml con tapa de aluminio y polipropileno, inlcuye vasito dosificador de polipropileno x 15 mL",A11AB,Otras combinaciones de multivitaminas,A11,A11A
DE3710,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,MELATONIN 500 mcg,MASON VITAMINS INC.,VIAL,TABLETA SUBLINGUAL,ESTADOS UNIDOS DE AMERICA,INMEDIATA,MELATONINA 500.000000 MCG,ORAL,"frasco de PET ámbar por 30, 60, 90 y 120 tabletas sublinguales",A16,OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO,A16,A16
DE3712,VERSUS PERU S.A.C.,CREATINE MONOHYDRATE .,MEDIX LABORATOIRES NV,GRAMO,POLVO PARA SOLUCION ORAL,BELGICA,INMEDIATA,CREATINA MONOHIDRATO 3.000000 g,ORAL,"Frasco de Polietileno Tereftalato o Polietileno de alta densidad negro por 100, 200, 300, 400, 500, 600, 800, 900 y 1000g con o sin cuchara dosificadoras de polipropileno blanco o incoloro.",A16AX,Productos varios para el tracto alimentario y el metabolismo,A16,A16A
DE3713,VERSUS PERU S.A.C.,LIGHT DIGEST WHEY PROTEIN BANANA .,MEDIX LABORATOIRES NV,GRAMO,POLVO PARA SOLUCION ORAL,BELGICA,INMEDIATA,CONCENTRADO DE PROTEINA DE SUERO DE LECHE 18.386000 g AISLADO DE PROTEINA DE SUERO DE LECHE 0.200000 g,ORAL,Frasco de Polietileno de alta densidad o Polietileno tereftalato blanco por 500 y 1000g con o sin cuchara dosificadora de polipropileno blanco o incoloro. Bolsa de Polietileno de baja densidad/Aluminio/Poliester blanco por 40 y 500g con o sin cuchara dosificadora de polipropileno blanco o incoloro.,V03A,TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03,V03A
DE3714,VERSUS PERU S.A.C.,L-GLUTAMINE 6000MG .,MEDIX LABORATOIRES NV,GRAMO,POLVO PARA SOLUCION ORAL,BELGICA,INMEDIATA,"L-GLUTAMINA 6,000.000000 g",ORAL,"Pote de polietileno tereftalato o polietileno de alta densidad negro conteniendo 200 g, 300 g, 350 g, 400 g, 500 g, 600 g, 800 g, 900 g y 1000 g con tapa de polipropileno negro con o sin cuchara dosificadora de polipropileno incoloro o blanco por 6 g.",A16AA03,Glutamina,A16,A16A
DE3715,MASS NUTRITION S.A.C.,R1 WHEY BLEND VANILLA ICE CREAM .,NUTRIVO LLC,DOSIS 33.00 g,POLVO PARA SOLUCION ORAL,ESTADOS UNIDOS DE AMERICA,INMEDIATA,"POR DOSIS 33.00 g - CONCENTRADO DE PROTEINA DE SUERO DE LECHE 2,800.000000 mg PROTEINA AISLADA DE SUERO 1,650.000000 mg AISLADO DE PROTEINA DE SUERO HIDROLIZADA 1,650.000000 mg",ORAL,"frasco de PEAD blanco o negro por 1 lb (453 g), 2.04 lb (924 g), 2.1 (952 g), 4.95 lb (2244 g), 5.1 lb (2313 g), 10.19 lb (4622 g) con cuchara de polipropileno (33 g) incoloro. Frasco de PET negro o blanco por 1 lb (453 g), 2.04 lb (924 g), 2.1 (952 g), 4.95 lb (2244 g), 5.1 lb (2313 g), 10.19 lb (4622 g) con cuchara de polipropileno (33 g) incoloro. Bolsa de PEBD/ Aluminio/ Polipropileno negro o blanco: 33g, 1 lb (453 g), 2.04 lb (924 g), 2.1 (952 g), 4.95 lb (2244 g), 5.1 lb (2313 g), 10.19 lb (4622 g) con cuchara de polipropileno (33 g) incoloro.",A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE3716,VERSUS PERU S.A.C.,METAPURE ZERO CARB VANILLA .,MEDIX LABORATOIRES NV,GRAMO,POLVO PARA SOLUCION ORAL,BELGICA,INMEDIATA,AISLADO DE PROTEINA DE SUERO DE LECHE 29.403000 g,ORAL,"Frasco de Polietileno de alta densidad o Polietileno tereftalato negro por 480, 908, 1000 y 2000g con o sin cuchara dosificadora de polipropileno blanco o incoloro. Bolsa de Polietileno de baja densidad/Aluminio/Poliester negro por 30g.",V03A,TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03,V03A
DE3717,DEMON SPORTS E.I.R.L.,BCAA RELOADED PASSION FRUIT .,ARIZONA NUTRITIONAL SUPPLEMENTS,DOSIS 10.00 g,POLVO PARA SOLUCION ORAL,ESTADOS UNIDOS DE AMERICA,INMEDIATA,"POR DOSIS 10.00 g - VITAMINA B6 2.750000 mg METILCOBALAMINA 0.420000 MCG CITRATO DE ZINC 71.000000 mg CITRATO DE POTASIO 98.300000 mg CLORURO DE SODIO 50.000000 mg L-LEUCINA 4,000.000000 mg L-ISOLEUCINA 1,000.000000 mg L-VALINA 1,000.000000 mg TAURINA 1,000.000000 mg L-ALANIL-L-GLUTAMINA 500.000000 mg CLORHIDRATO DE PIRIDOXINA 3.900000 mg",ORAL,"Frasco PEAD o PET negro x 100, 300, 400, 500, 600, 700, 800, 900 y 1 000 g con o sin cuchara dosificadora de polipropileno incoloro. Bolsa de PEBD /Al/PE negro x 10, 100 y 300 g con o sin cuchara dosificadora de polipropileno incoloro.",A16AX,Productos varios para el tracto alimentario y el metabolismo,A16,A16A
DE3718,DEMON SPORTS E.I.R.L.,WHEY RELOADED CHOCOLATE FUDGE .,ARIZONA NUTRITIONAL SUPPLEMENTS,DOSIS,POLVO PARA SOLUCION ORAL,ESTADOS UNIDOS DE AMERICA,INMEDIATA,"CONCENTRADO DE PROTEINAS DE SUERO 29,320.000000 mg AISLADO DE PROTEINA DE SUERO DE LECHE 1,840.000000 mg L-GLUTAMINA 1,100.000000 mg L-LEUCINA 100.000000 mg MEZCLA DE ENZIMAS POLVO 10.000000 mg TRIGLICERIDOS DE CADENA MEDIA 1.000000 mg",ORAL,"Frasco PEAD o PET negro x 908, 1 200, 1 814, 2 300 y 2 516 g con cuchara dosificadora de polipropileno incoloro. Bolsa de PEBD/Al/PE negro x 36, 908, 1 200, 1 814, 2 300, 2 516 y 4 550 g con o sin cuchara dosificadora de polipropileno incoloro",A16AX,Productos varios para el tracto alimentario y el metabolismo,A16,A16A
DE3720,DROGUERIA INVERSIONES JPS S.A.C.,TRIPLE C FORTE .,CARVAGU S.A.,DOSIS,SOLUCION ORAL,ECUADOR,INMEDIATA,ACIDO ASCORBICO 0.999900 g GLUCONATO DE ZINC 0.036000 g COLECALCIFEROL 2.000000 MCG,ORAL,Frasco de vidrio tipo III ámbar x 500mL.,A11JB,Vitaminas con minerales,A11,A11J
DE3721,PHARMAVIT S.A.C.,VITOTAL PLUS .,VOVANTIS LABORATORIES PVT. LTD.,TABLETA,TABLETA EFERVESCENTE,INDIA,INMEDIATA,"ACIDO ASCORBICO 1,000.000000 mg SULFATO DE ZINC MONOHIDRATO 27.440000 mg",ORAL,Caja de Cartón x 2 Tubos de Polipropileno color blanco x 10 tabletas efervescentes cada uno.,A11JB,Vitaminas con minerales,A11,A11J
DE3722,PERU 2WTRADE SOCIEDAD ANONIMA CERRADA - PERU 2WTRADE S.A.C.,KETO GURU .,GLOBAL HEALTHCARE LIMITED LIABILITY COMPANY - GLOBAL HEALTHCARE LLC,TABLETA,TABLETA EFERVESCENTE,RUSIA,INMEDIATA,L-GLUTAMINA 0.238000 g CLORHIDRATO DE TIAMINA 0.000525 g CIANOCOBALAMINA 0.000315 g CITRATO DE MAGNESIO 0.224004 g CLORURO DE POTASIO 0.175004 g EXTRACTO ACUOSO DE EUTERPE OLERACEA (FRUTO) EN POLVO 0.049000 g VITAMINA B3 0.005250 g D-PANTOTENATO DE CALCIO 0.002135 g CLORHIDRATO DE PIRIDOXINA 0.000711 g VITAMINA B2 0.000525 g,ORAL,Caja de cartón con tubo de polipropileno blanco o gris por 10 tabletas efervescentes. Caja de cartón con tubo de politereftalato de etileno blanco o gris por 10 tabletas efervescentes. Caja de cartón con tubo de polietileno de alta densidad blanco o gris por 10 tabletas efervescentes.,A11AB,Otras combinaciones de multivitaminas,A11,A11A
DE3723,INTIPHARMA S.A.C.,NOVITEL .,HA NOI CPC1 PHARMACEUTICAL JOINT STOCK COMPANY,CAPSULA,CAPSULA BLANDA,VIETNAM,INMEDIATA,ACEITE DE PESCADO GADUS MORHUA 275.000000 mg CIANOCOBALAMINA 2.600000 MCG CARBONATO DE CALCIO 50.000000 mg ASCORBATO DE SODIO 56.250000 mg LACTOBACILLUS PARACASEI 50.000000 mg COMPLEJO DE HIDROXIDO FERRICO [HIERRO (III)] POLIMALTOSADO 49.800000 mg OXIDO DE MAGNESIO 47.500000 mg NICOTINAMIDA 18.000000 mg GLUCONATO DE ZINC 76.670000 mg DL-ALFA ACETATO DE TOCOFERILO 12.000000 UI RIBOFLAVINA 2.000000 mg D-PANTOTENATO DE CALCIO 6.000000 mg CLORHIDRATO DE PIRIDOXINA 2.300000 mg NITRATO DE TIAMINA 1.400000 mg BETACAROTENO 0.800000 mg ACIDO FOLICO 800.000000 MCG IODURO DE POTASIO 287.600000 MCG COLECALCIFEROL 200.000000 UI,ORAL,caja de cartón x 30 cápsulas blandas contenidas en envase blister de Aluminio/PVC incoloro.,A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE3724,DROGUERIA PERU S.A.C.,LUTEÍNA 20 mg,PRIME HEALTH LTD.,CAPSULA,CAPSULA BLANDA,CANADA,INMEDIATA,LUTEINA 20.000000 mg,ORAL,"Frasco de Tereftalato de polietileno ámbar por 10, 12, 15, 20, 25, 30, 40, 50, 60, 90, 100, 120, 150, 180, 200, 240, 250, 300, 350, 400, 450 y 500 cápsulas blandas.",A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE3725,MEGA LABS LATAM S.A.,SINARTAC .,"LABORATORIOS LICONSA, S.A.",CAPSULA,CAPSULA BLANDA,ESPAÑA,INMEDIATA,ACEITE DE PESCADO GADUS MORHUA 500.000000 mg COLAGENO 40.000000 mg ASTAXANTINA 4.000000 mg,ORAL,Caja de cartulina conteniendo 30 cápsulas blandas en envase blíster de aluminio-PVC/PVDC blanco.,A16AX,Productos varios para el tracto alimentario y el metabolismo,A16,A16A
DE3726,VERSUS PERU S.A.C.,PRIME WHEY VANILLA .,MEDIX LABORATOIRES NV,GRAMO,POLVO PARA SOLUCION ORAL,BELGICA,INMEDIATA,CONCENTRADO DE PROTEINA DE SUERO DE LECHE 28.815000 g AISLADO DE PROTEINA DE SUERO DE LECHE 0.300000 g,ORAL,"Frasco de Polietileno de alta densidad o Polietileno tereftalato negro por 480, 908 y 2000g con o sin cuchara dosificadora de polipropileno blanco o incoloro. Bolsa de Polietileno de baja densidad/Aluminio/Poliester negro por 30g.",V03A,TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03,V03A
DE3727,VERSUS PERU S.A.C.,LIGHT DIGEST WHEY PROTEIN BELGIAN CHOCOLATE .,MEDIX LABORATOIRES NV,GRAMO,POLVO PARA SOLUCION ORAL,BELGICA,INMEDIATA,CONCENTRADO DE PROTEINA DE SUERO DE LECHE 17.780000 g AISLADO DE PROTEINA DE SUERO DE LECHE 0.200000 g INULINA 0.200000 g,ORAL,Frasco de Polietileno de alta densidad o Polietileno tereftalato blanco por 500 y 1000g con o sin cuchara dosificadora de polipropileno blanco o incoloro. Bolsa de Polietileno de baja densidad/Aluminio/Poliester blanco por 40 y 500g con o sin cuchara dosificadora de polipropileno blanco o incoloro.,V03A,TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03,V03A
DE3728,VERSUS PERU S.A.C.,METAPURE ZERO CARB COCONUT .,MEDIX LABORATOIRES NV,GRAMO,POLVO PARA SOLUCION ORAL,BELGICA,INMEDIATA,AISLADO DE PROTEINA DE SUERO DE LECHE 29.421000 g,ORAL,"Frasco de Polietileno de alta densidad o Polietileno tereftalato negro por 480, 908, 1000 y 2000g con o sin cuchara dosificadora de polipropileno blanco o incoloro. Bolsa de Polietileno de baja densidad/Aluminio/Poliester negro por 30g.",V03A,TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03,V03A
DE3729,PHARMAVIT S.A.C.,VITOTAL FORTE .,VOVANTIS LABORATORIES PVT. LTD.,TABLETA,TABLETA EFERVESCENTE,INDIA,INMEDIATA,ACIDO ASCORBICO 75.000000 mg CLORHIDRATO DE PIRIDOXINA 2.500000 mg CIANOCOBALAMINA 0.002500 mg ACIDO FOLICO 0.100000 mg BETACAROTENO 0.250000 mg NICOTINAMIDA 10.000000 mg SULFATO DE COBRE ANHIDRO 0.250000 mg GLUCONATO FERROSO 1.500000 mg GLICEROFOSFATO DE MAGNESIO 10.000000 mg SULFATO DE ZINC MONOHIDRATO 1.500000 mg SULFATO DE MANGANESO MONOHIDRATO 0.500000 mg DL-ALFA ACETATO DE TOCOFERIL 12.000000 mg CLORHIDRATO DE TIAMINA 1.500000 mg FOSFATO SODICO DE RIBOFLAVINA 1.000000 mg,ORAL,CAJA DE CARTON X 01 TUBO DE POLIPROPILENO COLOR BLANCO CON TAPA CONTENIENDO 10 TABLETAS EFERVESCENTES,A11AB,Otras combinaciones de multivitaminas,A11,A11A
DE3730,INTI PERU S.A.C.,ZINC VIMIN 50 50 mg,SANKALP HEALTHCARE AND ALLIED PRODUCTS PRIVATE LIMITED,TABLETA,TABLETA,INDIA,INMEDIATA,GLUCONATO DE ZINC 50.000000 mg,ORAL,"Frasco de polietileno de alta densidad color blanco x 100 tabletas contenida en caja de cartón ampliacion de presentacion a:Frasco de polietileno de alta densidad color blanco x 2,5,10,20,30,40,50,60,70,80,90 tabletas contenida en caja de cartón",V03A,TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03,V03A
DE3731,DOCTOR ANDREU Q.F.S.A.,C VITAN 1000 mg,WEST-COAST PHARMACEUTICAL WORKS LTD.,TABLETA,TABLETA EFERVESCENTE,INDIA,INMEDIATA,"VITAMINA C 1,000.000000 mg",ORAL,"Tubo de polietileno de alta densidad blanco con 10, 20 tabletas efervescentes",A11AB,Otras combinaciones de multivitaminas,A11,A11A
DE3732,MEDIFARMA S.A.,KIDS MULTIVITAMÍNICO SABOR A PIÑA .,MR GUMMY VITAMINS LLC,DOSIS,GEL MASTICABLE,ESTADOS UNIDOS DE AMERICA,INMEDIATA,VITAMINA C 45.000000 mg VITAMINA B3 6.000000 mg VITAMINA B5 1.300000 mg VITAMINA B6 1.100000 mg VITAMINA B12 0.600000 MCG BIOTINA 6.000000 MCG ACIDO FOLICO 150.000000 MCG OXIDO DE ZINC 621.500000 MCG BETACAROTENO 36.600000 MCG,ORAL,"Frasco de Polietileno tereftalato (PET) incoloro x 30, 60, 90, 120 pastillas de goma.",A11AB,Otras combinaciones de multivitaminas,A11,A11A
DE3733,IMPORTACIONES MACOY E.I.R.L.,HYDROBCAA + ESSENTIALS FRUIT PUNCH .,"UNITED LABORATORIES MANUFACTURING, LLC DBA PROTEC LABORATORY",DOSIS 13.80 g,POLVO PARA SOLUCION ORAL,ESTADOS UNIDOS DE AMERICA,INMEDIATA,"POR DOSIS 13.80 g - L-LEUCINA 3,500.000000 mg L-HISTIDINA 100.000000 mg L-TRIPTOFANO 75.000000 mg CLORURO DE POTASIO 190.800000 mg CITRATO DE SODIO 213.120000 mg L-ISOLEUCINA 1,750.000000 mg L-VALINA 1,750.000000 mg MONOCLORHIDRATO DE L-LISINA 2,120.000000 mg L-TREONINA 300.000000 mg L-FENILALANINA 300.000000 mg L-METIONINA 105.000000 mg",ORAL,"Frasco de Polietileno de alta densidad color negro o gris: 1242g, 828g, 414g con cuchara de polietileno incoloro. Bolsa de Polietileno de baja densidad color negro o gris: 13.8g",V06B,SUPLEMENTOS PROTEICOS,V06,V06B
DE3734,REPRESENTACIONES SANIMED S.A.C.,MYGRIUM ® .,HC CLOVER PRODUCTOS Y SERVICIOS S.L.,CAPSULA,CAPSULA,ESPAÑA,INMEDIATA,EXTRACTO DE OLIVA 300.000000 mg VITAMINA C 60.000000 mg NICOTINAMIDA 16.000000 mg PANTOTENATO DE CALCIO 6.697000 mg RIBOFLAVINA 1.400000 mg CLORHIDRATO DE PIRIDOXINA 1.702000 mg CLORHIDRATO DE TIAMINA 1.127600 mg,ORAL,caja de cartón conteniendo blíster por 20 cápsulas cada blíster de PVC/PVDC y aluminio color plateado x 60 cápsulas.,A11AB,Otras combinaciones de multivitaminas,A11,A11A
DE3736,TERBOL PERU SOCIEDAD ANONIMA CERRADA,VITAMIN C + D3 + ZINC .,"JIANGSU HANDIAN BIOTECHNOLOGY CO., LTD.",TABLETA,TABLETA EFERVESCENTE,CHINA,INMEDIATA,"VITAMINA C 1,000.000000 mg VITAMINA D3 400.000000 UI GLUCONATO DE ZINC 78.000000 mg",ORAL,Caja de cartulina x 10 tubos de PP blanco con tapa de PP blanco x 10 y 20 tabletas efervescentes.,A16AX,Productos varios para el tracto alimentario y el metabolismo,A16,A16A
DE3738,INTERSPORT PERU E.I.R.L.,CREATINA MONOHIDRATO .,NUTRABIO LABS. INC.,DOSIS,POLVO PARA SOLUCION ORAL,ESTADOS UNIDOS DE AMERICA,INMEDIATA,CREATINA MONOHIDRATO 5.000000 g,ORAL,"Pote de polietileno de alta densidad (PEAD) negro conteniendo 150 g, 300, 500 g, 1000 g con cuchara dosificadora de Polietileno de alta densidad (PEAD) negro.",A16AX,Productos varios para el tracto alimentario y el metabolismo,A16,A16A
DE3739,UNIMED DEL PERU S.A.,LEMOVIT C + ZINC .,PROCAPS S.A.,CAPSULA,CAPSULA DE LIBERACION PROLONGADA,COLOMBIA,PROLONGADA,VITAMINA C 500.000000 mg SULFATO DE ZINC MONOHIDRATO 17.260000 mg,ORAL,"Caja de cartón x 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100, 120, 150 y 200 cápsulas de liberación prolongada en blíster de Aluminio/PVC-PVDC incoloro. Caja de cartón x 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100, 120, 150 y 200 cápsulas de liberación prolongada en blíster de Aluminio/PVC-PVDC ambar.",A11JB,Vitaminas con minerales,A11,A11J
DE3740,BARSAND INTERNATIONAL S.A.C.,.CARBS SABOR NEUTRO .,GLOBAL HEALTH PRODUCTS,DOSIS 6.00 g,POLVO PARA SOLUCION ORAL,ESTADOS UNIDOS DE AMERICA,INMEDIATA,POR DOSIS 6.00 g - MALTODEXTRINA 6.000000 g,ORAL,"tarro x 400g de (PP/aluminio) /cartón Kraft/aluminio, con tapa de PEBD incoloro y cuchara dosificadora de PEAD transparente. Y sobres de PE/Al/papel x 6g",V06DB,"Combinaciones de lípidos, carbohidratos, proteínas, minerales y vitaminas",V06,V06D
