item,Distribuidor,Producto,Fabricante,composicion_por,Forma Farmacéutica,Procedencia,Liberación,Composición,Vías de Administración,Presentación,codigo_atc,descripcion_clasificacion,grupo_atc_3,grupo_atc_4
DE3054,ITF FARMACEUTICA PERU S.A.C,KYNESIS 40 mg,INDUSTRIA PROCESADORA DE ALIMENTOS KNOP LTDA,CAPSULA,CAPSULA,CHILE,INMEDIATA,,,"Caja de cartón x 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 20, 24, 30, 40, 50, y 60 cápsulas en blíster de PVC incoloro y aluminio",V07,TODO EL RESTO DE LOS PRODUCTOS NO TERAPÉUTICOS,V07,V07
DE3061,UNIMED DEL PERU S.A.,VITAMINA E 100 UI,PROCAPS S.A.,CAPSULA,CAPSULA BLANDA,COLOMBIA,INMEDIATA,DL-ALFA ACETATO DE TOCOFERILO 100.000000 UI,ORAL,"frasco de PEAD blanco con tapa de PEMD amarilla o blanca conteniendo 10, 20, 30, 35, 50, 70, 100, 120, 150 ó 200 cápsulas blandas",A11HA03,Tocoferol (vit E),A11,A11H
DE3062,FARMAKONSUMA S.A.,CITRAMAG 100 MG 100 mg,LABORATORIOS FARMA S.A.,CAPSULA,CAPSULA,VENEZUELA,INMEDIATA,CITRATO DE MAGNESIO 622.280000 mg,ORAL,"Frasco de polietileno de alta densidad blanco x 2, 4, 30, 45 y 60 cápsulas, con o sin caja de cartón.",A02AA10,Combinaciones,A02,A02A
DE3063,PODER FENIX LAB S.A.C,SELBIO K 30 .,ARNET PHARMACEUTICAL CORPORATION,VIAL,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,L-CISTEINA 100.000000 mg L-METIONINA 100.000000 mg QUERATINA 100.000000 mg EXTRACTO SECO DE PANICUM MILIACEUM L.(MIJO)(SEMILLA)(POLVO) 100.000000 mg BIOTINA 30.000000 mg OXIDO DE ZINC 18.870000 mg SELENATO DE SODIO 15.000000 mg,ORAL,"Frasco de polietileno de alta densidad color blanco x 2, 5, 10, 20, 30, 60, 90, 120 y 150 tabletas",V06DD,"Aminoácidos, incl. combinaciones con polipéptidos",V06,V06D
DE3067,URO PHARMA S.A.C.,ANDROFERTI .,"RIOJA NATURE PHARMA, S.L.",VIAL 3.80 g,POLVO PARA SOLUCION ORAL,ESPAÑA,INMEDIATA,"POR VIAL 3.80 g - TARTRATO DE L-CARNITINA 1,088.534000 mg VITAMINA C 36.000000 mg COENZIMA Q10 10.000000 mg DL-ALFA ACETATO DE TOCOFERILO 12.000000 mg CITRATO DE ZINC 16.015000 mg ACIDO FOLICO 100.000000 MCG SELENITO DE SODIO 0.055000 mg VITAMINA B12 0.600000 mg",ORAL,Caja de cartón contenido 60 sobres de papel/aluminio/polietileno,A16AA,Aminoácidos y derivados,A16,A16A
DE3082,DIPHASAC SOCIEDAD ANONIMA CERRADA,BITFLORAMAX .,HIGLANCE LABORATORIES PVT. LTD.,CAPSULA,CAPSULA,INDIA,INMEDIATA,LACTOBACILLUS ACIDOPHILUS 30.000000 mg LACTOBACILLUS PLANTARUM 15.000000 mg LACTOBACILLUS BOUCARDII 15.000000 mg LACTOBACILLUS RHAMNOSUS 30.000000 mg BIFIDOBACTERIUM BIFIDUM 15.000000 mg BIFIDOBACTERIUM LONGUM 45.000000 mg BIFIDOBACTERIUM BREVE 15.000000 mg STREPTOCOCCUS THERMOPHILUS 30.000000 mg ENTEROCOCCUS FAECIUM 45.000000 mg LACTOBACILLUS BULGARICUS 15.000000 mg LACTOBACILLUS PARACASEI 45.000000 mg,ORAL,"Caja de cartón por 2, 3, 7, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950 y 1000 cápsulas en blíster de PVDC/PVC incoloro y aluminio plateado",A07FA,Microorganismos antidiarreicos,A07,A07F
DE3087,PROVERSAL S.R.L.,N-ISO MILK CHOCOLATE (ANS) .,NBF HOLDINGS USA INC.,DOSIS 30.00 g,POLVO PARA SOLUCION ORAL,ESTADOS UNIDOS DE AMERICA,INMEDIATA,POR DOSIS 30.00 g - AISLADO DE PROTEINA DE SUERO HIDROLIZADA 26.450000 g,ORAL,Frasco de polietileno de alta densidad color blanco conteniendo 2.27 kg (5 lb) de polvo para solución oral con cuchara dosificadora de 30 gramos de polietileno de alta densidad incoloro.-Bolsa de polietileno/aluminio de color azul conteniendo 30 g de polvo para solución oral.,V03A,TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03,V03A
DE3092,MEGA LABS LATAM S.A.,CHELTIN FOLIC .,MEGA LABS S.A.,COMPRIMIDO,COMPRIMIDO RECUBIERTO,URUGUAY,INMEDIATA,GLICINATO DE HIERRO 150.000000 mg ACIDO FOLICO 0.600000 mg,ORAL,Caja de cartulina conteniendo 30 comprimidos recubiertos en envase blíster de aluminio-PVC/PE/PVDC incoloro,B03AE03,Hierro y multivitaminas,B03,B03A
DE3094,PHARMACEUTICAL DISTOLOZA S.A.,RESTAFLORA-PD® 250 mg,ALAX BIORESEARCH PVT. LTD.,CAPSULA,CAPSULA,INDIA,INMEDIATA,SACCHAROMYCES BOULARDII 250.000000 mg,ORAL,"Caja de cartón conteniendo blíster de PVC/Al/OPA plateado - aluminio x 2, 10, 20, 30, 40, 50, 100 y 500 cápsulas.",A16AX,Productos varios para el tracto alimentario y el metabolismo,A16,A16A
DE3095,4 LIFE RESEARCH PERU S.R.L.,4LIFE TRANSFER FACTOR TRI-FACTOR FORMULA 210mg- 90mg,"BIOMEDICAL RESEARCH LABORATORIES, LLC",CAPSULA,CAPSULA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,CALOSTRO BOVINO (POLVO) 210.000000 mg YEMA DE HUEVO DESHIDRATADO 90.000000 mg,ORAL,Frasco de Polietileno de alta densidad plateado con tapa de polipropileno color azul o blanco x 90 cápsulas.,A11JC,"Vitaminas, otras combinaciones",A11,A11J
